,period,value,dataset_name,FREQ,REF_AREA,series_name,series_code
175,1995-10-01,80.77,Selected residential property prices,Q,AT,"Quarterly – Austria – Nominal – Index, 2010 = 100",Q.AT.N.628
176,1996-01-01,85.5628,Selected residential property prices,Q,AT,"Quarterly – Austria – Nominal – Index, 2010 = 100",Q.AT.N.628
177,1996-04-01,86.5842,Selected residential property prices,Q,AT,"Quarterly – Austria – Nominal – Index, 2010 = 100",Q.AT.N.628
178,1996-07-01,82.8914,Selected residential property prices,Q,AT,"Quarterly – Austria – Nominal – Index, 2010 = 100",Q.AT.N.628
179,1996-10-01,81.32,Selected residential property prices,Q,AT,"Quarterly – Austria – Nominal – Index, 2010 = 100",Q.AT.N.628
180,1997-01-01,84.8556,Selected residential property prices,Q,AT,"Quarterly – Austria – Nominal – Index, 2010 = 100",Q.AT.N.628
181,1997-04-01,83.2057,Selected residential property prices,Q,AT,"Quarterly – Austria – Nominal – Index, 2010 = 100",Q.AT.N.628
182,1997-07-01,86.977,Selected residential property prices,Q,AT,"Quarterly – Austria – Nominal – Index, 2010 = 100",Q.AT.N.628
183,1997-10-01,83.7556,Selected residential property prices,Q,AT,"Quarterly – Austria – Nominal – Index, 2010 = 100",Q.AT.N.628
184,1998-01-01,82.5771,Selected residential property prices,Q,AT,"Quarterly – Austria – Nominal – Index, 2010 = 100",Q.AT.N.628
185,1998-04-01,79.3557,Selected residential property prices,Q,AT,"Quarterly – Austria – Nominal – Index, 2010 = 100",Q.AT.N.628
186,1998-07-01,81.7128,Selected residential property prices,Q,AT,"Quarterly – Austria – Nominal – Index, 2010 = 100",Q.AT.N.628
187,1998-10-01,78.6486,Selected residential property prices,Q,AT,"Quarterly – Austria – Nominal – Index, 2010 = 100",Q.AT.N.628
188,1999-01-01,78.9629,Selected residential property prices,Q,AT,"Quarterly – Austria – Nominal – Index, 2010 = 100",Q.AT.N.628
189,1999-04-01,79.0414,Selected residential property prices,Q,AT,"Quarterly – Austria – Nominal – Index, 2010 = 100",Q.AT.N.628
190,1999-07-01,78.57,Selected residential property prices,Q,AT,"Quarterly – Austria – Nominal – Index, 2010 = 100",Q.AT.N.628
191,1999-10-01,77.7058,Selected residential property prices,Q,AT,"Quarterly – Austria – Nominal – Index, 2010 = 100",Q.AT.N.628
192,2000-01-01,80.2986,Selected residential property prices,Q,AT,"Quarterly – Austria – Nominal – Index, 2010 = 100",Q.AT.N.628
193,2000-04-01,78.9629,Selected residential property prices,Q,AT,"Quarterly – Austria – Nominal – Index, 2010 = 100",Q.AT.N.628
194,2000-07-01,77.6272,Selected residential property prices,Q,AT,"Quarterly – Austria – Nominal – Index, 2010 = 100",Q.AT.N.628
